시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대,평점,법정동코드
부산광역시 해운대구,비가족,5,4,4,남,20대,5.266666666666667,26350
전라북도 전주시,비가족,5,5,4,여,15~19세,5.666666666666667,45110
경기도 남양주시,가족,4,4,4,여,40대,4.933333333333334,41360
경기도 양평군,가족,4,4,4,남,30대,4.933333333333334,41830
강원특별자치도 홍천군,비가족,4,4,4,여,50대,4.933333333333334,42720
경기도 남양주시,가족,4,4,4,여,60대,4.933333333333334,41360
전라남도 담양군,가족,4,4,4,여,60대,4.933333333333334,46710
강원특별자치도 홍천군,가족,4,4,4,여,40대,4.933333333333334,42720
경기도 양주시,가족,4,4,4,남,50대,4.933333333333334,41630
경기도 양평군,가족,4,4,4,여,70세 이상,4.933333333333334,41830
강원특별자치도 속초시,비가족,5,4,4,여,20대,5.266666666666667,42210
경기도 파주시,비가족,4,4,4,남,20대,4.933333333333334,41480
제주특별자치도 제주시,가족,4,4,4,남,70세 이상,4.933333333333334,50110
제주특별자치도 제주시,비가족,4,4,4,남,20대,4.933333333333334,50110
강원특별자치도 동해시,가족,5,4,4,남,30대,5.266666666666667,42170
제주특별자치도 서귀포시,가족,5,4,4,남,40대,5.266666666666667,50130
경상남도 남해군,비가족,4,4,4,여,20대,4.933333333333334,48840
부산광역시 해운대구,가족,4,4,4,여,30대,4.933333333333334,26350
인천광역시 강화군,비가족,4,4,4,여,60대,4.933333333333334,28710
부산광역시 서구,비가족,5,4,4,남,20대,5.266666666666667,26140
제주특별자치도 제주시,가족,5,4,4,남,60대,5.266666666666667,50110
강원특별자치도 강릉시,비가족,4,4,4,여,20대,4.933333333333334,42150
강원특별자치도 속초시,비가족,4,4,4,여,70세 이상,4.933333333333334,42210
충청북도 충주시,비가족,4,4,4,여,30대,4.933333333333334,43130
강원특별자치도 속초시,비가족,4,4,4,여,50대,4.933333333333334,42210
경상북도 안동시,가족,4,4,4,남,30대,4.933333333333334,47170
경기도 광명시,비가족,4,4,4,여,20대,4.933333333333334,41210
강원특별자치도 양양군,비가족,4,4,4,남,20대,4.933333333333334,42830
충청남도 청양군,가족,4,4,4,여,60대,4.933333333333334,44790
경기도 양평군,비가족,4,4,4,여,30대,4.933333333333334,41830
인천광역시 중구,가족,4,4,4,여,20대,4.933333333333334,28110
경기도 가평군,비가족,4,4,4,여,40대,4.933333333333334,41820
강원특별자치도 속초시,비가족,4,4,4,남,30대,4.933333333333334,42210
전라북도 무주군,비가족,4,4,4,여,70세 이상,4.933333333333334,45730
강원특별자치도 양양군,비가족,4,4,4,여,30대,4.933333333333334,42830
경기도 포천시,비가족,4,5,5,여,20대,5.833333333333333,41650
강원특별자치도 양양군,가족,5,3,3,남,50대,4.366666666666666,42830
강원특별자치도 삼척시,가족,4,4,4,남,60대,4.933333333333334,42230
강원특별자치도 춘천시,가족,4,4,4,남,60대,4.933333333333334,42110
제주특별자치도 서귀포시,비가족,4,4,4,남,30대,4.933333333333334,50130
강원특별자치도 홍천군,비가족,4,4,4,여,30대,4.933333333333334,42720
경기도 포천시,비가족,4,4,4,남,20대,4.933333333333334,41650
강원특별자치도 속초시,비가족,4,4,4,여,20대,4.933333333333334,42210
경기도 남양주시,가족,4,4,4,여,30대,4.933333333333334,41360
경기도 양평군,비가족,4,4,4,여,20대,4.933333333333334,41830
인천광역시 강화군,비가족,4,4,4,남,40대,4.933333333333334,28710
경기도 화성시,비가족,4,4,4,남,30대,4.933333333333334,41590
부산광역시 해운대구,비가족,4,4,4,여,20대,4.933333333333334,26350
경상남도 밀양시,가족,4,4,4,남,40대,4.933333333333334,48270
경상북도 경주시,비가족,4,4,5,남,20대,5.433333333333334,47130
대구광역시 수성구,비가족,4,4,3,여,30대,4.433333333333334,27260
강원특별자치도 양양군,비가족,4,4,4,남,20대,4.933333333333334,42830
강원특별자치도 속초시,가족,5,4,4,여,60대,5.266666666666667,42210
제주특별자치도 제주시,비가족,5,5,5,여,30대,6.166666666666667,50110
경기도 포천시,가족,4,4,4,여,40대,4.933333333333334,41650
강원특별자치도 강릉시,비가족,4,4,4,여,20대,4.933333333333334,42150
인천광역시 남동구,가족,4,4,4,여,20대,4.933333333333334,28200
경기도 포천시,가족,4,4,4,여,40대,4.933333333333334,41650
경기도 양평군,비가족,4,4,4,남,40대,4.933333333333334,41830
제주특별자치도 제주시,가족,5,5,4,여,40대,5.666666666666667,50110
강원특별자치도 속초시,비가족,4,4,4,남,30대,4.933333333333334,42210
경기도 광주시,가족,5,5,4,여,30대,5.666666666666667,41610
